column,start,length
tag,1,15
julian_date,16,11
date,27,11
lv_type,48,25
variant,73,7
flight_id,80,21
flight,101,25
mission,126,25
platform,151,10
launch_site,161,9
launch_pad,170,22
apogee,192,8
range,200,3
destination,203,13
agency,216,13
launch_code,229,5
launch_group,234,25
category,259,25
citation1,284,21
citation2,305,21
notes,326,1
