column,start,length
code,1,9
ucode,10,9
state_code,19,7
type,26,17
class,43,2
tstart,45,13
tstop,58,13
short_name,71,18
name,89,81
location,170,53
longitude,223,13
latitude,236,11
error,247,8
parent,255,13
short_english_name,268,17
english_name,285,61
unicode_name,346,229
